Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Default price,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Sir Ramos Drugstore - Mabalas Balas],Price [Sir Ramos Drugstore - Mabalas Balas],In stock [Sir Ramos Drugstore - Mabalas Balas],Low stock [Sir Ramos Drugstore - Mabalas Balas],"Modifier - ""Biguerlai""","Modifier - ""Biofit""","Modifier - ""MX3 Coffee""","Modifier - ""Xanthone Coffee""","Modifier - ""Sante Barley Juice""","Modifier - ""UH Ferrous""","Modifier - ""Supracid""","Modifier - ""Chilli Plaster""","Modifier - ""Facemask Regular""","Modifier - ""VIP DC""","Modifier - ""4x4 Gauze Pad""","Modifier - ""Gloves"""
10cc-syringe,11580,10cc Syringe,Generics,,N,,,,,,,10.00,3.50,,,,Y,Y,10.00,97.000,25.000,N,N,N,N,N,N,N,N,N,N,N,N
1cc-syringe,11581,1cc Syringe,Generics,,N,,,,,,,10.00,2.65,,,,Y,Y,10.00,51.000,25.000,N,N,N,N,N,N,N,N,N,N,N,N
3cc-syringe,11578,3cc Syringe,Generics,,N,,,,,,,5.00,2.65,,,,Y,Y,5.00,-5.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
3m-micropore-0.5in,10837,3M Surgical Tape 0.5in,Generics,,N,,,,,,,45.00,20.62,,,,Y,Y,45.00,25.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
3m-surgical-tape-1-inch,11880,3M Surgical Tape 1 inch,Generics,,N,,,,,,,55.00,47.50,,,,Y,Y,60.00,5.000,2.000,N,N,N,N,N,N,N,N,N,N,N,N
gauze-pad,10832,4x4 Gauze Pad,Generics,,N,,,,,,,5.00,2.50,,,,Y,Y,5.00,30.000,200.000,N,N,N,N,N,N,N,N,N,N,N,N
5cc-syringe,11579,5cc Syringe,Generics,,N,,,,,,,10.00,1.90,,,,Y,Y,10.00,115.000,30.000,N,N,N,N,N,N,N,N,N,N,N,N
abdominal-binder-8in,11574,Abdominal Binder 8in,Generics,,N,,,,,,,160.00,115.00,,,,Y,Y,250.00,2.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
absolute-6l,10815,Absolute 6L,General Merchandise,,N,,,,,,,78.00,69.91,,,,Y,Y,78.00,10.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
alcanforado-15ml,11440,Aceite Alcanforado 30ml,Branded,,N,,,,,,,18.00,13.62,,,,Y,Y,18.00,2.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
asciete-manzanilla-100ml,10929,Aceite De Manzanilla 100ml,Branded,,N,,,,,,,45.00,37.63,,,,Y,Y,45.00,2.000,2.000,N,N,N,N,N,N,N,N,N,N,N,N
aceite-de-manzanilla-25ml,11145,Aceite De Manzanilla 25ml,Branded,,N,,,,,,,18.00,13.24,48033053,,,Y,Y,18.00,6.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
aceite-de-manzanilla-50ml,11146,Aceite De Manzanilla 50ml,Branded,,N,,,,,,,25.00,20.20,4800011159034,,,Y,Y,25.00,-1.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
acetylcysteine-600mg,10351,Acetylcysteine 600mg Sachet,Generics,,N,,,,,,,25.00,6.50,,,,Y,Y,25.00,408.000,100.000,N,N,N,N,N,N,N,N,N,N,N,N
aciclovir-200mg-60ml-syrup,11713,Aciclovir 200mg 60ml Syrup,Generics,,N,,,,,,,450.00,258.00,,,,Y,Y,450.00,3.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
aciclovir-200mg-tab,11658,Aciclovir 200mg tab,Generics,,N,,,,,,,10.00,2.10,,,,Y,Y,15.00,151.000,20.000,N,N,N,N,N,N,N,N,N,N,N,N
aciclovir,10352,Aciclovir 400mg Tablet,Generics,,N,,,,,,,15.00,5.20,,,,Y,Y,25.00,52.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
aciclovir-800mg-tab,11659,Aciclovir 800mg Tab,Generics,,N,,,,,,,35.00,13.40,,,,Y,Y,35.00,60.000,20.000,N,N,N,N,N,N,N,N,N,N,N,N
aciclovir-cream,11345,Aciclovir Cream 10g,Generics,,N,,,,,,,350.00,165.00,8904346102478,,,Y,N,230.00,5.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
aciclovir-cream-5g,11859,Aciclovir Cream 5g,Generics,,N,,,,,,,210.00,115.00,,,,Y,Y,210.00,3.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
activcon-multivitamins-cap,11697,Activcon Multivitamins Cap,Generics,,N,,,,,,,10.00,3.67,,,,Y,Y,10.00,83.000,30.000,N,N,N,N,N,N,N,N,N,N,N,N
aficionado-active-55ml,11454,Aficionado Active 55ml,General Merchandise,,N,,,,,,,47.00,41.23,4806517213102,,,Y,Y,47.00,0.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
affionado-adventurous-55ml,11816,Aficionado Adventurous 55ml,General Merchandise,,N,,,,,,,47.00,41.23,,,,Y,Y,47.00,0.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
aficionado-fancy-110ml,10964,Aficionado Fancy 110ml,General Merchandise,,N,,,,,,,87.00,79.50,4806517214468,,,Y,Y,90.00,2.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
aficionado-fancy-55ml,10965,Aficionado Fancy 55ml,General Merchandise,,N,,,,,,,47.00,41.23,4806517213096,,,Y,Y,47.00,0.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
aficionado-fresh-110ml,10966,Aficionado Fresh 110ml,General Merchandise,,N,,,,,,,90.00,79.50,4806517214475,,,Y,Y,90.00,2.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
aficionado-fresh-55ml,10967,Aficionado Fresh 55ml,General Merchandise,,N,,,,,,,47.00,41.23,4806517210026,,,Y,Y,47.00,1.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
aficionado-sporty-110ml,10963,Aficionado Sporty 110ml,General Merchandise,,N,,,,,,,87.00,79.50,4806517214499,,,Y,Y,90.00,-1.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
aficionado-sporty-55ml,10962,Aficionado Sporty 55ml,General Merchandise,,N,,,,,,,47.00,41.23,4806517210019,,,Y,Y,47.00,3.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
alaska-1.4kg,11694,Alaska 1.4kg,Milk / Allpcon,,N,,,,,,,456.00,443.17,,,,Y,N,456.00,0.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
alaska-1.9kg,10218,Alaska 1.9kg,Milk / Allpcon,,N,,,,,,,560.00,553.83,,,,Y,Y,575.00,2.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
alaska-300g,10727,Alaska 300g,Milk / Allpcon,,N,,,,,,,100.00,84.50,4800575144590,,,Y,Y,95.00,0.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
alaska-450g,10728,Alaska 450g,Milk / Allpcon,,N,,,,,,,145.00,145.50,4800575230453,,,Y,Y,153.00,3.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
alaska-700g,10923,Alaska 680g,Milk / Allpcon,,N,,,,,,,220.00,211.25,4800575144606,,,Y,Y,220.00,6.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
alaska-900g,10729,Alaska 840g,Milk / Allpcon,,N,,,,,,,272.00,248.75,4800575144613,,,Y,Y,260.00,3.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
alaxan-fr,10000,Alaxan FR Cap,Branded / Unilab,,N,,,,,,,9.00,8.00,,,,Y,Y,9.00,125.000,100.000,N,N,N,N,N,N,N,N,N,N,N,N
alcohol-1gal,11785,Alcohol 1Gal,Generics,,N,,,,,,,500.00,320.00,,,,Y,Y,450.00,1.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
alcoplus-blue-150ml,11246,Alcoplus Blue 150ml,General Merchandise,,N,,,,,,,35.00,28.13,4806515160811,,,Y,Y,35.00,4.000,5.000,N,N,N,N,N,N,N,N,N,N,N,N
alcoplus-blue-250ml,11504,Alcoplus Blue 250ml,General Merchandise,,N,,,,,,,50.00,41.48,4806515160859,,,Y,Y,50.00,3.000,5.000,N,N,N,N,N,N,N,N,N,N,N,N
alcoplus-blue-500ml,11505,Alcoplus Blue 500ml,General Merchandise,,N,,,,,,,80.00,70.33,4806515160828,,,Y,Y,80.00,6.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
alcoplus-blue-60ml,11584,Alcoplus Blue 60ml,General Merchandise,,N,,,,,,,22.00,16.50,,,,Y,Y,22.00,2.000,2.000,N,N,N,N,N,N,N,N,N,N,N,N
alcoplus-red-150ml,11508,Alcoplus Red 150ml,General Merchandise,,N,,,,,,,40.00,29.35,4806515160781,,,Y,Y,40.00,8.000,5.000,N,N,N,N,N,N,N,N,N,N,N,N
alcoplus-red-250ml,11507,Alcoplus Red 250ml,General Merchandise,,N,,,,,,,55.00,44.38,4806515160842,,,Y,Y,55.00,8.000,5.000,N,N,N,N,N,N,N,N,N,N,N,N
alcoplus-red-500ml,11506,Alcoplus Red 500ml,General Merchandise,,N,,,,,,,90.00,80.29,4806515160798,,,Y,Y,90.00,3.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
alcoplus-red-60ml,11597,Alcoplus Red 60ml,General Merchandise,,N,,,,,,,23.00,17.22,,,,Y,Y,23.00,5.000,2.000,N,N,N,N,N,N,N,N,N,N,N,N
algesia,10018,Algesia Tab,Branded / Unilab,,N,,,,,,,56.50,52.33,,,,Y,Y,58.00,22.000,5.000,N,N,N,N,N,N,N,N,N,N,N,N
algina-sachet,11900,Algina Sachet,Branded / Unilab,,N,,,,,,,36.00,32.24,,,,Y,Y,36.00,1.000,5.000,N,N,N,N,N,N,N,N,N,N,N,N
allerkid-drops,10287,Allerkid Drops 10ml,Branded / Unilab,,N,,,,,,,205.00,184.99,4807788519948,,,Y,Y,205.00,4.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
allerkid-syrup-30ml,10286,Allerkid Syrup 30ml,Branded / Unilab,,N,,,,,,,186.00,169.20,4807788519955,,,Y,Y,186.00,5.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
allerkid-60ml,10154,Allerkid Syrup 60ml,Branded / Unilab,,N,,,,,,,295.00,267.56,4807788532022,,,Y,Y,295.00,5.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
allerta,10017,Allerta 10mg Tab,Branded / Unilab,,N,,,,,,,25.00,21.95,,,,Y,Y,25.00,26.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
allerzet-syrup-30ml,11665,Allerzet Syrup 30ml,Branded / Unilab,,N,,,,,,,169.00,152.97,,,,Y,Y,169.00,2.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
allerzet-syrup-60ml,11650,Allerzet Syrup 60ml,Branded / Unilab,,N,,,,,,,278.00,252.64,,,,Y,Y,278.00,3.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
allopurinol-100mg,10353,Allopurinol 100mg,Generics,,N,,,,,,,2.00,0.55,,,,Y,Y,2.00,132.000,50.000,N,N,N,N,N,N,N,N,N,N,N,N
allopurinol-300mg,10354,Allopurinol 300mg,Generics,,N,,,,,,,4.00,1.25,,,,Y,Y,4.00,91.000,50.000,N,N,N,N,N,N,N,N,N,N,N,N
alnix-drops,10288,Alnix Drops,Branded / Unilab,,N,,,,,,,213.00,195.93,4807788519849,,,Y,Y,213.00,2.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
alnix-syrup,10289,Alnix Syrup 60ml,Branded / Unilab,,N,,,,,,,295.00,267.59,4807788519818,,,Y,Y,295.00,1.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
althea-pills,10589,Althea Pills,Branded,,N,,,,,,,463.00,399.49,4800064630061,,,Y,Y,463.00,1.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
aluminum-magnesium-syrup-120ml,10937,Aluminum Magnesium Syrup 120ml,Generics,,N,,,,,,,60.00,22.75,,,,Y,Y,60.00,3.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
aluminum-magnesium-syrup-60ml,10524,Aluminum Magnesium Syrup 60ml,Generics,,N,,,,,,,40.00,15.50,4806529430009,,,Y,Y,40.00,2.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
aluminum-magnesium,10355,Aluminum Magnesium Tab,Generics,,N,,,,,,,3.00,0.65,,,,Y,Y,3.00,286.000,30.000,N,N,N,N,N,N,N,N,N,N,N,N
expel-syrup,10299,Ambroxol (Expel) 15mg Syrup,Branded / Unilab,,N,,,,,,,149.00,135.15,4807788519870,,,Y,Y,149.00,11.000,5.000,N,N,N,N,N,N,N,N,N,N,N,N
expel-drops,10300,Ambroxol (Expel) Drops,Branded / Unilab,,N,,,,,,,129.00,116.77,4807788519887,,,Y,Y,129.00,6.000,5.000,N,N,N,N,N,N,N,N,N,N,N,N
ambroxol-syrup-15mg-60ml,10527,Ambroxol 15mg Syrup 60ml,Generics,,N,,,,,,,35.00,13.50,4806527191339,,,Y,Y,35.00,14.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
ambroxol-syrup-30mg-60ml,10525,Ambroxol 30mg Syrup 60ml,Generics,,N,,,,,,,40.00,12.50,4806527191346,,,Y,Y,40.00,5.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
ambroxol-30mg,10356,Ambroxol 30mg Tablet,Generics,,N,,,,,,,3.00,0.34,,,,Y,Y,3.00,107.000,100.000,N,N,N,N,N,N,N,N,N,N,N,N
ambroxol-drops-15ml,10526,Ambroxol Drops 15ml,Generics,,N,,,,,,,30.00,11.50,4806529430030,,,Y,Y,30.00,24.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
amlife-100/10,10021,Amlife 100/10mg Tab,Branded / Unilab,,N,,,,,,,38.00,34.15,,,,Y,Y,38.00,31.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
amlife-100/5,10020,Amlife 100/5mg Tab,Branded / Unilab,,N,,,,,,,33.00,29.85,,,,Y,Y,33.00,87.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
amlife-50/5,10019,Amlife 50/5mg Tab,Branded / Unilab,,N,,,,,,,26.50,23.93,,,,Y,Y,26.50,22.000,20.000,N,N,N,N,N,N,N,N,N,N,N,N
provasc-10mg-1,11180,Amlodipine (Provasc) 10mg Tab,Bellkenz,,N,,,,,,,16.00,10.85,,,,Y,Y,16.00,61.000,50.000,N,N,N,N,N,N,N,N,N,N,N,N
provasc-5mg-1,11179,Amlodipine (Provasc) 5mg Tab,Bellkenz,,N,,,,,,,11.00,7.53,,,,Y,Y,11.00,34.000,30.000,N,N,N,N,N,N,N,N,N,N,N,N
amlodipine-+-losartan-5/50,10357,Amlodipine + Losartan (Inozar) 5/50 Tab,Generics,,N,,,,,,,12.00,6.00,,,,Y,Y,12.00,543.000,200.000,N,N,N,N,N,N,N,N,N,N,N,N
veztenor-5mg/50mg,11181,Amlodipine + Losartan (Veztenor) 5mg/50mg Tab,Bellkenz,,N,,,,,,,21.50,15.05,,,,Y,Y,21.50,17.000,50.000,N,N,N,N,N,N,N,N,N,N,N,N
amlodipine-+-losartan-5/50-tab-(pink),10145,Amlodipine + Losartan 5/50 Tab,Generics,,N,,,,,,,8.00,3.16,,,,Y,Y,8.00,236.000,100.000,N,N,N,N,N,N,N,N,N,N,N,N
amlodipine-10mg,10359,Amlodipine 10mg Tablet,Generics,,N,,,,,,,3.00,1.10,,,,Y,Y,3.00,987.000,300.000,N,N,N,N,N,N,N,N,N,N,N,N
amlodipine-5mg,10358,Amlodipine 5mg Tablet,Generics,,N,,,,,,,2.00,0.95,,,,Y,Y,2.00,1291.000,500.000,N,N,N,N,N,N,N,N,N,N,N,N
amoclav-228.5mg-70ml,11763,Amoclav 228.5mg Syrup 70ml,Branded / Unilab,,N,,,,,,,320.00,290.15,,,,Y,Y,320.00,1.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
amoclav-457mg-35ml-syrup,10956,Amoclav 457mg Syrup 35ml,Branded / Unilab,,N,,,,,,,310.00,279.61,,,,Y,N,310.00,0.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
amoclav-457mg-syrup,11671,Amoclav 457mg Syrup 70ml,Branded / Unilab,,N,,,,,,,491.00,446.58,,,,Y,Y,492.00,1.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
amoxicillin-syrup-125mg-60ml,10529,Amoxicillin 125mg Syrup 60ml,Generics,,N,,,,,,,35.00,15.50,4800301902357,,,Y,Y,35.00,15.000,5.000,N,N,N,N,N,N,N,N,N,N,N,N
amoxicillin-250mg,10360,Amoxicillin 250mg Capsule,Generics,,N,,,,,,,4.00,1.30,,,,Y,Y,4.00,87.000,50.000,N,N,N,N,N,N,N,N,N,N,N,N
amoxicillin-syrup-250mg-60ml,10530,Amoxicillin 250mg Syrup 60ml,Generics,,N,,,,,,,45.00,20.25,4800301902364,,,Y,Y,45.00,10.000,5.000,N,N,N,N,N,N,N,N,N,N,N,N
amoxicillin-500mg,10361,Amoxicillin 500mg Cap,Generics,,N,,,,,,,4.00,1.45,,,,Y,Y,4.00,783.000,500.000,N,N,N,N,N,N,N,N,N,N,N,N
amoxicillin-drops,10528,Amoxicillin Drops,Generics,,N,,,,,,,30.00,12.60,4806523302791,,,Y,Y,30.00,8.000,5.000,N,N,N,N,N,N,N,N,N,N,N,N
ampalaya-plus,10022,Ampalaya Plus,Branded,,N,,,,,,,8.00,6.75,,,,Y,Y,8.00,20.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
anlene-300g,10917,Anlene Gold Plain 300g,Milk / Allpcon,,N,,,,,,,178.00,168.17,4806501597416,,,Y,Y,185.00,3.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
anmum-choco-180g,11327,Anmum Choco 180g,General Merchandise,,N,,,,,,,207.00,196.75,9415007005933,,,Y,Y,207.00,1.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
anmum-choco-375g,11328,Anmum Choco 375g,General Merchandise,,N,,,,,,,410.00,398.17,4806501596242,,,Y,Y,418.00,1.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
ap-ap-solution-120ml,11917,Ap-Ap Solution 120ml,Branded,,N,,,,,,,40.00,34.40,,,,Y,Y,45.00,12.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
ap-ap-solution-30ml,10712,Ap-Ap Solution 30ml,Branded,,N,,,,,,,20.00,14.04,4809014258218,,,Y,Y,20.00,0.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
ap-ap-solution-60ml,10713,Ap-Ap Solution 60ml,Branded,,N,,,,,,,30.00,21.32,4809014258225,,,Y,Y,30.00,10.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
apixaban-2.5mg-tab,11855,Apixaban 2.5mg Tab,Generics,,N,,,,,,,18.00,6.90,,,,Y,Y,18.00,30.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
apixaban-5mg-tab,10910,Apixaban 5mg Tab,Generics,,N,,,,,,,28.00,8.90,,,,Y,Y,28.00,18.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
apollo-lip-balm-pretty-pink,11770,Apollo Lip Balm Pretty Pink,General Merchandise,,N,,,,,,,75.00,65.80,4800067123133,,,Y,Y,75.00,0.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
apollo-petroleum-gelly-25g,10693,Apollo Petroleum Jelly 25g,Branded,,N,,,,,,,45.00,40.50,4800067642573,,,Y,Y,50.00,6.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
apollo-petroleum-gelly-50g,10694,Apollo Petroleum Jelly 50g,Branded,,N,,,,,,,65.00,56.70,4800067644843,,,Y,Y,70.00,1.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
appebon-+-iron,10023,Appebon Capsule,Branded / Unilab,,N,,,,,,,25.00,23.86,,,,Y,Y,26.00,58.000,20.000,N,N,N,N,N,N,N,N,N,N,N,N
appebon-kid-chewable-tab,11836,Appebon Kid Chewable Tab,Branded / Unilab,,N,,,,,,,12.00,9.43,,,,Y,Y,12.00,20.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
appebon-kids-syrup-120ml,10333,Appebon Kid Syrup 120ml,Branded / Unilab,,N,,,,,,,205.00,184.77,4807788519658,,,Y,Y,205.00,2.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
appebon-kids-syrup-250ml,10335,Appebon Kid Syrup 250ml,Branded / Unilab,,N,,,,,,,395.00,359.05,,,,Y,Y,395.00,1.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
appebon-kids-syrup-60ml,10334,Appebon Kid Syrup 60ml,Branded / Unilab,,N,,,,,,,127.00,115.18,4807788519641,,,Y,Y,127.00,2.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
propan-w/-iron-syrup-120ml,10980,Appebon w/ Iron Syrup 120ml,Branded / Unilab,,N,,,,,,,610.00,550.68,4807788519122,,,Y,Y,610.00,2.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
appetason,10024,Appetason Capsule,Branded,,N,,,,,,,14.00,12.00,,,,Y,Y,14.00,97.000,50.000,N,N,N,N,N,N,N,N,N,N,N,N
appetason-syrup-60ml,11624,Appetason Syrup 120ml,Branded,,N,,,,,,,160.00,144.68,4806508800755,,,Y,Y,160.00,0.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
appetason-syrup-60ml-1,10871,Appetason Syrup 60ml,Branded,,N,,,,,,,120.00,106.70,,,,Y,Y,120.00,3.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
arm-sling-large,11712,Arm Sling Large,Generics,,N,,,,,,,100.00,48.00,,,,Y,Y,100.00,1.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
arm-sling-medium,11711,Arm Sling Medium,Generics,,N,,,,,,,100.00,48.00,,,,Y,Y,100.00,1.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
bewell-c-kids-syrup-120ml,11639,Ascorbic + Zinc (Bewell C Kids) Syrup 120ml,Branded,,N,,,,,,,122.00,110.00,,,,Y,Y,122.00,0.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
bewell-c,11209,Ascorbic + Zinc (Bewell-C + Zinc) Cap,Branded,,N,,,,,,,8.00,6.37,,,,Y,Y,8.00,15.000,30.000,N,N,N,N,N,N,N,N,N,N,N,N
ascorbic-+-zinc-capsule,11595,Ascorbic + Zinc Capsule,Generics,,N,,,,,,,4.00,0.75,,,,Y,Y,4.00,53.000,300.000,N,N,N,N,N,N,N,N,N,N,N,N
bewell-c-500mg,11138,Ascorbic Acid (Bewell-C) Cap,Branded,,N,,,,,,,6.00,4.68,,,,Y,Y,6.00,10.000,10.000,N,N,N,N,N,N,N,Y,N,N,N,N
ascorbic-acid,10362,Ascorbic Acid Tablet,Generics,,N,,,,,,,2.00,0.35,,,,Y,Y,2.00,493.000,50.000,N,N,N,N,N,N,N,N,N,N,N,N
ascorbic-acid-w/-zinc-120ml,10533,Ascorbic Acid w/ Zinc Syrup 120ml,Generics,,N,,,,,,,90.00,39.50,4806523303576,,,Y,Y,90.00,2.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
ascorbic-with-zinc-syrup-250ml,11467,Ascorbic Acid w/ Zinc Syrup 250ml,Generics,,N,,,,,,,150.00,45.00,,,,Y,Y,150.00,2.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
ascorbic-acid-w/-zinc-60ml,11606,Ascorbic Acid w/ Zinc Syrup 60ml,Generics,,N,,,,,,,60.00,35.00,4806523303569,,,Y,Y,70.00,3.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
asmalin-nebules,11723,Asmalin Nebules,Branded / Unilab,,N,,,,,,,38.00,34.19,,,,Y,Y,38.00,11.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
asmalin-syrup-60ml,10301,Asmalin Syrup 60ml,Branded / Unilab,,N,,,,,,,155.00,148.33,4807788519733,,,Y,Y,165.00,10.000,4.000,N,N,N,N,N,N,N,N,N,N,N,N
aspilet-80mg,10029,Aspilet 80mg (Yellow) Tab,Branded / Unilab,,N,,,,,,,4.00,3.63,,,,Y,Y,4.00,66.000,20.000,N,N,N,N,N,N,N,N,N,N,N,N
aspilet-ec,10030,Aspilet EC (Green) Tab,Branded / Unilab,,N,,,,,,,4.00,3.63,,,,Y,Y,4.00,25.000,20.000,N,N,N,N,N,N,N,N,N,N,N,N
aspirin-(aspec-ec)-100mg-tab,11851,Aspirin (Aspec EC) 100mg Tab,Branded,,N,,,,,,,3.50,2.14,,,,Y,Y,3.50,20.000,30.000,N,N,N,N,N,N,N,N,N,N,N,N
besprin-100mg,10836,Aspirin (Besprin) 100mg Tab,Bellkenz,,N,,,,,,,2.50,1.78,,,,Y,Y,3.00,160.000,50.000,N,N,N,N,N,N,N,N,N,N,N,N
cortal,10050,Aspirin (Cortal) 500mg Tab,Branded,,N,,,,,,,9.00,7.88,,,,Y,Y,9.00,8.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
aspirin,10363,Aspirin 80mg Tab,Generics,,N,,,,,,,2.00,0.38,,,,Y,Y,2.00,271.000,100.000,N,N,N,N,N,N,N,N,N,N,N,N
atc-fish-oil,11583,ATC Fish Oil Cap,Branded,,N,,,,,,,7.00,5.78,,,,Y,Y,7.00,-15.000,30.000,N,N,N,N,N,N,N,N,N,N,N,N
atenolol-50mg-tab,10365,Atenolol 50mg Tab,Generics,,N,,,,,,,4.00,0.78,,,,Y,Y,4.00,40.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
itorvaz-20mg,11182,Atorvastatin (Itorvaz) 20mg Tab,Bellkenz,,N,,,,,,,15.00,10.50,,,,Y,Y,15.00,-5.000,50.000,N,N,N,N,N,N,N,N,N,N,N,N
itorvaz-40mg,11183,Atorvastatin (Itorvaz) 40mg Tab,Bellkenz,,N,,,,,,,21.50,15.05,,,,Y,Y,21.50,20.000,50.000,N,N,N,N,N,N,N,N,N,N,N,N
atorvastatin-10mg,10366,Atorvastatin 10mg Tablet,Generics,,N,,,,,,,5.00,0.85,,,,Y,Y,5.00,225.000,50.000,N,N,N,N,N,N,N,N,N,N,N,N
atorvastatin-20mg,10367,Atorvastatin 20mg Tablet,Generics,,N,,,,,,,6.00,0.80,,,,Y,Y,6.00,769.000,200.000,N,N,N,N,N,N,N,N,N,N,N,N
atorvastatin-40mg,10368,Atorvastatin 40mg Tablet,Generics,,N,,,,,,,8.00,1.70,,,,Y,Y,8.00,612.000,200.000,N,N,N,N,N,N,N,N,N,N,N,N
atorvastatin-80mg-tab,10364,Atorvastatin 80mg Tablet,Generics,,N,,,,,,,12.00,4.50,,,,Y,Y,12.00,179.000,50.000,N,N,N,N,N,N,N,N,N,N,N,N
audra-300mg,11184,Audra 300mg Cap,Bellkenz,,N,,,,,,,40.00,28.00,,,,Y,N,40.00,0.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
axe-dark-temptation-deo-spray-135mk,11680,Axe Dark Temptation Deo Spray 135ml,General Merchandise,,N,,,,,,,267.00,242.72,,,,Y,N,270.00,0.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
axe-dark-temptation-deo-spray-50ml,11425,Axe Dark Temptation Deo Spray 50ml,General Merchandise,,N,,,,,,,105.00,102.94,4800888141101,,,Y,Y,116.00,6.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
axe-gold-spray,11803,Axe Gold Deo Spray 50ml,General Merchandise,,N,,,,,,,115.00,102.94,,,,Y,Y,116.00,6.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
