Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Default price,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Sir Ramos Drugstore - Mabalas Balas],Price [Sir Ramos Drugstore - Mabalas Balas],In stock [Sir Ramos Drugstore - Mabalas Balas],Low stock [Sir Ramos Drugstore - Mabalas Balas],"Modifier - ""Biguerlai""","Modifier - ""Biofit""","Modifier - ""MX3 Coffee""","Modifier - ""Xanthone Coffee""","Modifier - ""Sante Barley Juice""","Modifier - ""UH Ferrous""","Modifier - ""Supracid""","Modifier - ""Chilli Plaster""","Modifier - ""Facemask Regular""","Modifier - ""VIP DC""","Modifier - ""4x4 Gauze Pad""","Modifier - ""Gloves"""
red-bull,10821,RedBull 150ml,Branded,,N,,,,,,,40.00,33.30,,,,Y,Y,40.00,2.000,5.000,N,N,N,N,N,N,N,N,N,N,N,N
relestal-drops-15ml,10349,Relestal Drops 15ml,Branded / Unilab,,N,,,,,,,204.00,185.36,4807788519498,,,Y,Y,204.00,1.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
relestal-syrup-60ml,10348,Relestal Syrup 60ml,Branded / Unilab,,N,,,,,,,215.00,194.95,,,,Y,Y,215.00,1.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N
renakult-cap,11863,Renakult Cap,Bellkenz,,N,,,,,,,29.00,24.65,,,,Y,Y,29.00,34.000,5.000,N,N,N,N,N,N,N,N,N,N,N,N
renalog,10176,Renalog Tab,Branded,,N,,,,,,,29.00,23.60,,,,Y,Y,29.00,0.000,30.000,N,N,N,N,N,N,N,N,N,N,N,N
restime-drops-10ml,11083,Restime Drops 10ml,Branded / Unilab,,N,,,,,,,136.00,122.99,4807788523709,,,Y,Y,136.00,4.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
restime-tab,10177,Restime Tab,Branded / Unilab,,N,,,,,,,10.00,9.05,,,,Y,Y,10.00,15.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N
revicon,10008,Revicon,Branded / Unilab,,N,,,,,,,6.00,5.66,,,,Y,Y,6.50,47.000,50.000,N,N,N,N,N,N,N,N,N,N,N,N
revicon-30's,10638,Revicon 30's,Branded / Unilab,,N,,,,,,,172.00,169.81,4807788522290,,,Y,Y,187.00,2.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
rexidol,10006,Rexidol Tab,Branded / Unilab,,N,,,,,,,7.00,6.00,,,,Y,Y,7.00,109.000,100.000,N,N,N,N,N,N,N,N,N,N,N,N
rexona-ice-cool-25ml,11052,Rexona Men Ice Cool 25ml,General Merchandise,,N,,,,,,,75.00,65.58,4800888143365,,,Y,Y,75.00,3.000,3.000,N,N,N,N,N,N,N,N,N,N,N,N
rexona-men-ice-cool-3ml,10875,Rexona Men Ice Cool 3ml Sachet,General Merchandise,,N,,,,,,,10.00,6.80,,,,Y,Y,10.00,3.000,6.000,N,N,N,N,N,N,N,N,N,N,N,N
rexona-ice-cool-50ml,11056,Rexona Men Ice Cool 45ml,General Merchandise,,N,,,,,,,136.00,121.71,4800888143389,,,Y,Y,136.00,3.000,1.000,N,N,N,N,N,N,N,N,N,N,N,N
